student	studentLabel	supervisor	supervisorLabel
http://www.wikidata.org/entity/Q28946543	Robert C Glen	http://www.wikidata.org/entity/Q908710	Peter Murray-Rust
http://www.wikidata.org/entity/Q18529460	Franc Solina	http://www.wikidata.org/entity/Q10959	Ruzena Bajcsy
http://www.wikidata.org/entity/Q93020	Patrick Winston	http://www.wikidata.org/entity/Q204815	Marvin Minsky
http://www.wikidata.org/entity/Q30338957	Isabelle Augenstein	http://www.wikidata.org/entity/Q30339109	Fabio Ciravegna
http://www.wikidata.org/entity/Q57351636	Jasmine Jones	http://www.wikidata.org/entity/Q21287797	Lana Yarosh
http://www.wikidata.org/entity/Q30338957	Isabelle Augenstein	http://www.wikidata.org/entity/Q30095223	Diana Maynard
http://www.wikidata.org/entity/Q18720176	Nuria Oliver	http://www.wikidata.org/entity/Q4717615	Alex "Sandy" Pentland
http://www.wikidata.org/entity/Q18627581	Aaron Halfaker	http://www.wikidata.org/entity/Q14282656	John T. Riedl
http://www.wikidata.org/entity/Q57267422	Kristina N. Toutanova	http://www.wikidata.org/entity/Q22826132	Christopher D. Manning
http://www.wikidata.org/entity/Q24573646	Michael Kai Petersen	http://www.wikidata.org/entity/Q20984804	Lars Kai Hansen
http://www.wikidata.org/entity/Q16080922	Barbara Liskov	http://www.wikidata.org/entity/Q92739	John McCarthy
http://www.wikidata.org/entity/Q55431935	Minqing Hu	http://www.wikidata.org/entity/Q18719199	Bing Liu
http://www.wikidata.org/entity/Q7052780	Norman Shapiro	http://www.wikidata.org/entity/Q92741	Alonzo Church
http://www.wikidata.org/entity/Q92739	John McCarthy	http://www.wikidata.org/entity/Q371942	Solomon Lefschetz
http://www.wikidata.org/entity/Q63126308	Peter Földiák	http://www.wikidata.org/entity/Q13570719	Horace Barlow
http://www.wikidata.org/entity/Q55395315	Percy Liang	http://www.wikidata.org/entity/Q3308285	Michael I. Jordan
http://www.wikidata.org/entity/Q15429153	Jennifer A. Golbeck	http://www.wikidata.org/entity/Q6135847	James Hendler
http://www.wikidata.org/entity/Q22315803	Paul Schrater	http://www.wikidata.org/entity/Q22351201	David Knill
http://www.wikidata.org/entity/Q7803487	Tim Finin	http://www.wikidata.org/entity/Q92834	David Waltz
http://www.wikidata.org/entity/Q63080922	Katie Bouman	http://www.wikidata.org/entity/Q45894406	William T. Freeman
http://www.wikidata.org/entity/Q57208203	Preslav Nakov	http://www.wikidata.org/entity/Q6774677	Marti A. Hearst
http://www.wikidata.org/entity/Q6133578	James F. Allen	http://www.wikidata.org/entity/Q5006808	C. Raymond Perrault
http://www.wikidata.org/entity/Q5334648	Ed H. Chi	http://www.wikidata.org/entity/Q14282656	John T. Riedl
http://www.wikidata.org/entity/Q24265825	Kristoffer Hougaard Madsen	http://www.wikidata.org/entity/Q20984804	Lars Kai Hansen
http://www.wikidata.org/entity/Q20895241	Egon Willighagen	http://www.wikidata.org/entity/Q908710	Peter Murray-Rust
http://www.wikidata.org/entity/Q26703063	Ian J. Goodfellow	http://www.wikidata.org/entity/Q3572699	Yoshua Bengio
http://www.wikidata.org/entity/Q22295528	Brent Hecht	http://www.wikidata.org/entity/Q42336681	Darren Gergle
http://www.wikidata.org/entity/Q2843566	Amit Singhal	http://www.wikidata.org/entity/Q92880	Gerard Salton
http://www.wikidata.org/entity/Q18619030	Vicki Lynne Hanson	http://www.wikidata.org/entity/Q962506	Michael Posner
http://www.wikidata.org/entity/Q3572699	Yoshua Bengio	http://www.wikidata.org/entity/Q62619724	Renato De Mori
http://www.wikidata.org/entity/Q111637	Leon Henkin	http://www.wikidata.org/entity/Q92741	Alonzo Church
http://www.wikidata.org/entity/Q56461280	Katherine Panciera	http://www.wikidata.org/entity/Q20830617	Loren Terveen
